,Player,Type
327,Aaron Gordon,4
274,Aaron Harrison,2
194,Adreian Payne,4
54,Al Horford,2
387,Al Jefferson,3
53,Al-Farouq Aminu,2
393,Alec Burks,4
264,Alex Len,2
442,Alexis Ajinca,4
276,Allen Crabbe,0
399,Alonzo Gee,4
267,Amar'e Stoudemire,0
59,Amir Johnson,2
199,Anderson Varejao,4
372,Andre Drummond,3
397,Andre Iguodala,4
364,Andre Miller,4
405,Andre Roberson,0
374,Andrea Bargnani,4
434,Andrew Bogut,2
344,Andrew Nicholson,4
186,Andrew Wiggins,4
87,Anthony Bennett,4
346,Anthony Brown,4
225,Anthony Davis,3
259,Anthony Morrow,2
220,Anthony Tolliver,4
222,Archie Goodwin,0
408,Aron Baynes,2
377,Arron Afflalo,0
168,Austin Rivers,4
21,Avery Bradley,0
332,Ben McLemore,4
127,Beno Udrih,4
209,Bismack Biyombo,2
14,Blake Griffin,0
439,Boban Marjanovic,4
271,Bobby Portis,4
305,Bojan Bogdanovic,2
322,Boris Diaw,4
183,Bradley Beal,0
303,Brandan Wright,4
144,Branden Dawson,4
251,Brandon Bass,4
277,Brandon Jennings,1
241,Brandon Knight,1
70,Brandon Rush,2
151,Brian Roberts,4
35,Brook Lopez,3
355,Bruno Caboclo,4
44,Bryce Cotton,0
396,Bryce Dejean-Jones,4
189,CJ McCollum,1
266,CJ Miles,0
316,CJ Watson,4
188,CJ Wilcox,4
99,Cameron Bairstow,4
148,Cameron Payne,4
360,Carl Landry,4
242,Carmelo Anthony,0
29,Caron Butler,4
420,Chandler Parsons,4
388,Channing Frye,4
136,Charles Hayes,0
312,Charlie Villanueva,4
253,Chase Budinger,4
421,Chris Andersen,0
292,Chris Bosh,0
108,Chris Copeland,2
165,Chris Johnson,2
64,Chris Kaman,4
130,Chris Paul,1
446,Christian Wood,4
246,Cleanthony Early,2
76,Cliff Alexander,0
325,Clint Capela,3
378,Cody Zeller,2
255,Cole Aldrich,4
169,Corey Brewer,4
254,Cory Jefferson,4
149,Cory Joseph,4
75,Courtney Lee,2
319,Cristiano Felicio,4
308,D'Angelo Russell,1
431,D.J. Augustin,4
167,Damian Lillard,1
328,Damien Inglis,2
314,Damjan Rudez,2
105,Danilo Gallinari,0
326,Danny Green,4
309,Dante Cunningham,4
171,Darrell Arthur,0
392,Darren Collison,4
172,Darrun Hilliard,2
177,David Lee,2
116,David West,4
100,DeAndre Jordan,3
369,DeJuan Blair,4
333,DeMar DeRozan,1
27,DeMarcus Cousins,3
289,DeMarre Carroll,0
73,Delon Wright,4
275,Dennis Schroder,4
211,Deron Williams,4
435,Derrick Favors,3
380,Derrick Rose,1
4,Derrick Williams,2
206,Devin Booker,2
389,Devin Harris,2
164,Devyn Marble,2
260,Dewayne Dedmon,4
363,Dion Waiters,4
331,Dirk Nowitzki,0
156,Donald Sloan,4
68,Donatas Motiejunas,4
226,Doug McDermott,4
7,Draymond Green,2
278,Drew Gooden,4
413,Dwight Howard,3
36,Dwight Powell,4
279,Dwyane Wade,1
238,E'Twaun Moore,2
162,Ed Davis,2
122,Elfrid Payton,4
43,Elijah Millsap,4
342,Elliot Williams,2
341,Emmanuel Mudiay,1
39,Enes Kanter,2
81,Eric Bledsoe,1
321,Eric Gordon,0
223,Eric Moreland,4
178,Erick Green,2
66,Ersan Ilyasova,0
400,Evan Fournier,0
146,Evan Turner,4
233,Festus Ezeli,3
239,Frank Kaminsky,4
227,Garrett Temple,4
441,Gary Harris,4
123,Gary Neal,2
2,George Hill,0
426,Gerald Green,0
371,Gerald Henderson,2
110,Giannis Antetokounmpo,2
235,Glenn Robinson,2
103,Goran Dragic,4
285,Gordon Hayward,0
157,Gorgui Dieng,2
417,Greg Monroe,3
265,Greivis Vasquez,4
297,Harrison Barnes,0
263,Hassan Whiteside,3
243,Hollis Thompson,0
299,Ian Clark,2
324,Ian Mahinmi,2
343,Iman Shumpert,2
284,Isaiah Canaan,4
17,Isaiah Thomas,1
90,Ish Smith,1
410,J.J. O'Brien,2
318,J.R. Smith,0
93,JJ Hickson,2
345,JJ Redick,0
394,JaKarr Sampson,0
257,JaMychal Green,4
166,JaVale McGee,4
290,Jabari Parker,2
244,Jae Crowder,0
273,Jahlil Okafor,3
85,Jamal Crawford,0
208,Jameer Nelson,1
375,James Anderson,2
18,James Ennis,2
425,James Harden,1
58,James Johnson,2
26,James Jones,4
301,James Michael McAdoo,0
121,James Young,2
185,Jared Cunningham,2
402,Jared Dudley,0
19,Jared Sullinger,2
433,Jarell Eddie,2
3,Jarell Martin,4
210,Jarnell Stokes,4
409,Jarrett Jack,1
69,Jason Smith,4
174,Jason Terry,2
361,Jason Thompson,0
205,Jeff Ayres,2
155,Jeff Green,4
143,Jeff Teague,4
104,Jeff Withey,4
25,Jerami Grant,4
119,Jeremy Evans,4
247,Jeremy Lamb,0
440,Jeremy Lin,4
49,Jerian Grant,4
354,Jerryd Bayless,4
291,Jimmer Fredette,2
74,Jimmy Butler,0
16,Joakim Noah,0
15,Jodie Meeks,4
173,Joe Harris,2
86,Joe Ingles,2
22,Joe Johnson,4
428,Joe Young,4
57,Joel Anthony,0
350,Joffrey Lauvergne,2
403,John Henson,2
133,John Jenkins,2
230,John Wall,1
304,Johnny O'Bryant,4
95,Jon Leuer,0
407,Jonas Jerebko,4
293,Jonas Valanciunas,3
60,Jonathon Simmons,2
101,Jordan Adams,4
102,Jordan Clarkson,0
79,Jordan Hill,2
280,Jordan Mickey,0
184,Jose Calderon,4
424,Jose Juan Barea,4
256,Josh McRoberts,4
112,Josh Richardson,2
83,Josh Smith,4
437,Jrue Holiday,1
30,Julius Randle,2
37,Justin Anderson,2
202,Justin Holiday,2
48,Justise Winslow,4
406,Jusuf Nurkic,4
339,KJ McDaniels,2
219,Karl-Anthony Towns,3
386,Kawhi Leonard,0
140,Keith Appling,4
114,Kelly Olynyk,2
302,Kelly Oubre,4
132,Kemba Walker,1
221,Kendall Marshall,4
436,Kendrick Perkins,0
179,Kenneth Faried,3
365,Kent Bazemore,0
96,Kentavious Caldwell-Pope,0
163,Kevin Durant,1
430,Kevin Garnett,4
12,Kevin Love,2
107,Kevin Martin,0
229,Kevin Seraphin,0
51,Khris Middleton,0
145,Kirk Hinrich,2
281,Klay Thompson,0
94,Kobe Bryant,1
196,Kosta Koufos,2
11,Kostas Papanikolaou,2
111,Kris Humphries,4
419,Kristaps Porzingis,2
294,Kyle Anderson,2
250,Kyle Korver,0
8,Kyle Lowry,1
56,Kyle O'Quinn,0
249,Kyle Singler,4
170,Kyrie Irving,1
124,LaMarcus Aldridge,2
55,Lamar Patterson,2
237,Lance Stephenson,4
240,Lance Thomas,4
296,Langston Galloway,2
181,Larry Nance Jr.,4
384,Lavoy Allen,4
34,LeBron James,4
432,Leandro Barbosa,2
228,Lorenzo Brown,4
445,Lou Amundson,0
320,Lou Williams,4
213,Luc Mbah a Moute,0
84,Lucas Nogueira,0
61,Luis Montero,2
383,Luis Scola,4
261,Luke Babbitt,4
77,Luol Deng,0
71,Manu Ginobili,4
31,Marc Gasol,3
311,Marcelo Huertas,4
385,Marcin Gortat,3
286,Marco Belinelli,0
379,Marcus Morris,0
131,Marcus Smart,4
142,Marcus Thornton,2
45,Mario Chalmers,4
401,Mario Hezonja,2
287,Markel Brown,2
411,Markieff Morris,0
313,Marreese Speights,4
204,Marvin Williams,0
337,Mason Plumlee,2
338,Matt Barnes,0
323,Matt Bonner,4
415,Matthew Dellavedova,4
98,Maurice Harkless,4
117,Metta World Peace,2
138,Meyers Leonard,0
28,Michael Carter-Williams,4
139,Mike Conley,1
6,Mike Miller,2
315,Mike Muscala,4
153,Mike Scott,4
109,Miles Plumlee,0
262,Mirza Teletovic,0
422,Mitch McGary,0
214,Mo Williams,4
150,Monta Ellis,4
63,Montrezl Harrell,0
381,Myles Turner,2
358,Nate Robinson,0
367,Nemanja Bjelica,4
129,Nene,2
395,Nerlens Noel,3
252,Nick Collison,0
192,Nick Young,2
373,Nicolas Batum,0
24,Nik Stauskas,2
366,Nikola Jokic,2
427,Nikola Mirotic,0
193,Nikola Pekovic,4
13,Nikola Vucevic,3
91,Noah Vonleh,4
203,Norman Powell,2
200,Norris Cole,4
67,O.J. Mayo,4
307,Omer Asik,4
128,Omri Casspi,0
391,Otto Porter,0
78,PJ Hairston,4
195,PJ Tucker,0
118,Pablo Prigioni,4
295,Pat Connaughton,2
217,Patrick Beverley,2
283,Patrick Patterson,4
416,Patty Mills,0
0,Pau Gasol,3
444,Paul George,0
20,Paul Millsap,3
414,Paul Pierce,4
376,Phil Pressey,4
269,Quincy Acy,0
347,RJ Hunter,2
97,Rajon Rondo,1
268,Ramon Sessions,4
5,Randy Foye,4
443,Rashad Vaughn,2
191,Rasual Butler,2
207,Raul Neto,2
349,Ray McCallum,0
9,Raymond Felton,4
137,Reggie Bullock,2
72,Reggie Jackson,1
336,Richard Jefferson,2
33,Richaun Holmes,4
270,Ricky Rubio,1
216,Robert Covington,0
298,Robert Sacre,0
232,Robin Lopez,3
288,Rodney Hood,0
125,Rodney Stuckey,4
282,Rondae Hollis-Jefferson,0
382,Ronnie Price,2
158,Roy Hibbert,2
272,Rudy Gay,2
176,Rudy Gobert,3
159,Russ Smith,4
329,Russell Westbrook,1
348,Ryan Anderson,0
412,Ryan Hollins,0
357,Ryan Kelly,4
50,Salah Mejri,1
80,Sam Dekker,2
423,Sasha Kaun,0
47,Sasha Vujacic,2
352,Sean Kilpatrick,2
351,Serge Ibaka,2
42,Sergey Karasev,2
300,Seth Curry,2
418,Shabazz Muhammad,4
340,Shabazz Napier,4
390,Shane Larkin,4
180,Shaun Livingston,0
198,Shayne Whittington,4
154,Shelvin Mack,4
231,Solomon Hill,2
187,Sonny Weems,2
359,Spencer Dinwiddie,2
245,Spencer Hawes,4
398,Stanley Johnson,2
106,Stephen Curry,1
215,Steve Blake,4
306,Steve Novak,4
115,Steven Adams,2
160,TJ McConnell,4
52,TJ Warren,4
224,Taj Gibson,2
88,Tarik Black,4
368,Tayshaun Prince,2
438,Terrence Jones,2
370,Terrence Ross,2
46,Terry Rozier,2
141,Thabo Sefolosha,4
10,Thaddeus Young,3
175,Thomas Robinson,4
248,Tiago Splitter,2
1,Tibor Pleiss,0
334,Tim Duncan,3
234,Tim Frazier,4
356,Tim Hardaway Jr.,2
258,Timofey Mozgov,2
317,Tobias Harris,2
197,Toney Douglas,4
161,Tony Allen,0
32,Tony Parker,1
362,Tony Snell,2
92,Tony Wroten,4
147,Trevor Ariza,0
134,Trevor Booker,0
404,Trey Burke,0
330,Trey Lyles,4
310,Tristan Thompson,2
126,Troy Daniels,2
40,Ty Lawson,4
190,Tyler Ennis,4
201,Tyler Hansbrough,0
89,Tyler Johnson,4
62,Tyler Zeller,4
135,Tyreke Evans,4
353,Tyson Chandler,2
120,Tyus Jones,4
218,Udonis Haslem,0
429,Victor Oladipo,1
182,Vince Carter,2
65,Walter Tavares,0
335,Wayne Ellington,2
113,Wesley Johnson,4
41,Wesley Matthews,0
23,Will Barton,0
212,Willie Cauley-Stein,4
236,Willie Reed,4
152,Zach LaVine,1
38,Zach Randolph,3
82,Zaza Pachulia,3
